#raw
555.2321	269.5876    0
595.2336	269.5876    0
457.2003	269.5876    0
497.7652	269.0242    0
399.1699	269.5876    0
359.1684	270.1510    0
359.1684	296.6309    0
398.0431	297.1943    0
456.6369	296.6309    0
496.0750	296.6309    0
555.7955	296.0675    0
595.2336	296.6309    0
713.5479	283.1092    0
359.5205	336.9845    0
398.9586	336.9845    0
398.9586	363.7461    0
359.5205	363.0418    0
458.1158	336.2802    0
498.2582	336.2802    0
498.2582	363.7461    0
457.4115	362.3376    0
556.0068	337.6887    0
595.4449	336.2802    0
596.1492	363.7461    0
555.3025	363.7461    0
713.0550	350.3653    0
752.4931	349.6610    0
811.6502	349.6610    0
849.6798	349.6610    0
712.3507	309.5187    0
752.4931	310.2229    0
753.1973	284.1656    0
711.7345	376.3346    0
752.2290	375.4542    0
810.3297	375.4542    0
850.8242	375.4542    0
359.2361	403.6955    0
399.2015	403.0806    0
458.2273	403.0806    0
497.5778	403.0806    0
555.9887	403.0806    0
595.9541	402.4658    0
359.0824	429.4424    0
399.0478	430.9795    0
456.6902	429.4424    0
497.4241	429.4424    0
555.0664	430.2109    0
595.8004	430.2109    0
712.6222	415.6082    0
751.8190	416.3768    0
810.9985	415.6082    0
850.1953	415.6082    0
850.1953	443.2765    0
810.9985	444.0451    0
752.5876	443.2765    0
712.6222	442.5080    0
359.6718	468.4997    0
399.7163	469.2148    0
359.6718	496.3879    0
399.0012	497.1029    0
458.3529	469.2148    0
457.6379	495.6728    0
497.6824	469.9299    0
497.6824	496.3879    0
556.3190	469.9299    0
555.6040	495.6728    0
595.6485	469.9299    0
595.6485	496.3879    0
712.9218	482.0862    0
752.2512	482.8013    0
812.3180	483.5164    0
850.9324	482.8013    0
850.9324	509.9744    0
811.6030	509.9744    0
752.9663	509.9744    0
712.9218	509.9744    0
713.6369	549.3038    0
752.9663	550.0189    0
752.9663	576.4769    0
712.9218	575.7618    0
811.6030	548.5888    0
850.2173	548.5888    0
850.2173	576.4769    0
810.8879	576.4769    0
595.6485	642.2644    0
594.9334	655.1358    0
712.9218	642.2644    0
752.2512	642.2644    0
752.9663	668.7224    0
712.2067	669.4375    0
811.6030	642.2644    0
810.8879	668.0073    0
810.8879	695.1804    0
810.8879	721.6384    0
752.9663	721.6384    0
713.6369	721.6384    0
712.2067	695.8955    0
752.9663	695.1804    0
103.6728	800.2973    0
103.6728	828.1854    0
143.7173	828.1854    0
143.7173	802.4425    0
202.3539	801.0124    0
241.6834	801.0124    0
242.3985	828.1854    0
202.3539	828.1854    0
359.6718	748.0964    0
399.0012	748.0964    0
399.0012	775.2694    0
358.9567	774.5544    0
358.9567	814.5989    0
399.0012	815.3140    0
457.6379	814.5989    0
496.9673	814.5989    0
496.9673	748.0964    0
458.3529	748.0964    0
458.3529	774.5544    0
496.9673	775.9845    0
556.3190	748.0964    0
594.9334	748.8114    0
596.3636	775.2694    0
555.6040	774.5544    0
556.3190	814.5989    0
594.9334	815.3140    0
712.9218	828.1854    0
752.9663	828.1854    0
811.6030	828.9005    0
850.2173	828.1854    0
851.6475	788.8560    0
810.1728	788.8560    0
752.9663	788.1409    0
712.2067	788.1409    0
712.9218	761.6829    0
752.9663	760.9678    0
812.3180	761.6829    0
851.6475	761.6829    0
103.4853	868.3317    0
144.3341	867.6509    0
202.2031	868.3317    0
241.6902	868.3317    0
360.1515	841.0992    0
398.9578	841.7800    0
458.1884	841.0992    0
496.9947	841.7800    0
556.2254	841.0992    0
595.0317	841.7800    0
712.1314	855.3963    0
752.9801	854.7154    0
810.1683	854.0346    0
851.0170	854.7154    0
851.0170	894.8834    0
850.3362	921.4350    0
810.8491	921.4350    0
810.8491	894.8834    0
752.2993	921.4350    0
751.6185	894.2025    0
712.8122	894.2025    0
711.4505	922.1158    0
596.3933	922.1158    0
595.0317	881.9479    0
556.2254	881.2671    0
555.5446	921.4350    0
497.6755	881.2671    0
457.5076	880.5863    0
457.5076	920.7542    0
497.6755	921.4350    0
398.9578	921.4350    0
398.9578	881.2671    0
359.4707	881.2671    0
359.4707	921.4350    0
242.3710	894.8834    0
202.8839	894.8834    0
143.6533	895.5642    0
104.1662	894.8834    0
103.4853	921.4350    0
144.3341	922.1158    0
202.2031	920.7542    0
243.0518	921.4350    0
103.4853	960.2413    0
144.3341	960.2413    0
104.1662	988.1546    0
143.6533	988.1546    0
202.2031	960.9221    0
243.0518	961.6029    0
242.3710	987.4738    0
202.2031	987.4738    0
360.1515	961.6029    0
398.9578	960.9221    0
359.4707	987.4738    0
398.9578	988.1546    0
457.5076	960.9221    0
457.5076	987.4738    0
497.6755	962.2838    0
497.6755	988.1546    0
555.5446	960.9221    0
555.5446	987.4738    0
595.7125	961.6029    0
595.7125	987.4738    0
712.8122	962.2838    0
712.1314	986.7930    0
752.2993	987.4738    0
752.2993	962.2838    0
811.5299	961.6029    0
850.3362	961.6029    0
851.0170	987.4738    0
810.8491	988.1546    0
104.8470	1028.3225   0
143.6533	1026.9609   0
202.2031	1027.6417   0
241.6902	1028.3225   0
242.3710	1054.1934   0
202.2031	1054.1934   0
359.4707	1027.6417   0
398.2770	1027.6417   0
457.5076	1027.6417   0
496.9947	1027.6417   0
555.5446	1027.6417   0
595.0317	1026.9609   0
554.8638	1054.1934   0
595.0317	1053.5126   0
358.7899	1054.1934   0
398.9578	1054.1934   0
457.5076	1054.1934   0
497.6755	1054.8742   0
712.1314	1027.6417   0
712.8122	1053.5126   0
751.6185	1027.6417   0
752.2993	1054.1934   0
810.8491	1027.6417   0
810.8491	1053.5126   0
851.0170	1028.3225   0
851.0170	1053.5126   0
850.3362	1094.3613   0
851.0170	1120.9130   0
810.1683	1120.9130   0
809.4875	1093.6805   0
359.4707	1093.6805   0
398.2770	1094.3613   0
398.9578	1120.9130   0
359.4707	1120.9130   0
300.9209	1120.9130   0
300.2400	1094.3613   0
241.6902	1093.6805   0
202.8839	1094.3613   0
202.8839	1120.2322   0
241.6902	1121.5938   0
142.9724	1120.9130   0
143.6533	1094.3613   0
102.8045	1093.6805   0
104.1662	1120.9130   0
103.4853	1053.5126   0
144.3341	1054.8742   0
