param d := 2;

param p := 18;

param n_individuals := 121;

param demands := 
	1 1
	2 1
	3 1
	4 1
	5 1
	6 1
	7 1
	8 1
	9 1
	10 1
	11 1
	12 1
	13 1
	14 1
	15 1
	16 1
	17 1
	18 1
	19 1
	20 1
	21 1
	22 1
	23 1
	24 1
	25 1
	26 1
	27 1
	28 1
	29 1
	30 1
	31 1
	32 1
	33 1
	34 1
	35 1
	36 1
	37 1
	38 1
	39 1
	40 1
	41 1
	42 1
	43 1
	44 1
	45 1
	46 1
	47 1
	48 1
	49 1
	50 1
	51 1
	52 1
	53 1
	54 1
	55 1
	56 1
	57 1
	58 1
	59 1
	60 1
	61 1
	62 1
	63 1
	64 1
	65 1
	66 1
	67 1
	68 1
	69 1
	70 1
	71 1
	72 1
	73 1
	74 1
	75 1
	76 1
	77 1
	78 1
	79 1
	80 1
	81 1
	82 1
	83 1
	84 1
	85 1
	86 1
	87 1
	88 1
	89 1
	90 1
	91 1
	92 1
	93 1
	94 1
	95 1
	96 1
	97 1
	98 1
	99 1
	100 1
	101 1
	102 1
	103 1
	104 1
	105 1
	106 1
	107 1
	108 1
	109 1
	110 1
	111 1
	112 1
	113 1
	114 1
	115 1
	116 1
	117 1
	118 1
	119 1
	120 1
	121 1
;

param	Q:= 
1	11
2	12
3	3
4	7
5	12
6	1
7	4
8	9
9	1
10	9
11	4
12	10
13	4
14	7
15	3
16	7
17  11
18	5;
  
param a: 1 2 :=  
1 -2.79744466145833E+0001  6.05265299479167E+0001
2 -4.62849934895833E+0001  1.46993001302083E+0002
3 -7.78198242187500E+0001  1.45975748697917E+0002
4 -4.93367513020833E+0001  1.83614095052083E+0002
5 -7.88370768229166E+0001  1.86665852864583E+0002
6 -8.49405924479166E+0001  1.07320149739583E+0002
7 -1.23596191406250E+0002  1.06302897135416E+0002
8 -1.15458170572916E+0002  1.79545084635417E+0002
9 -1.48010253906250E+0002  1.80562337239583E+0002
10 -1.16475423177083E+0002  2.14131673177083E+0002
11 -1.51062011718750E+0002  2.14131673177083E+0002
12 -1.13423665364583E+0002  2.40580240885417E+0002
13 -1.48010253906250E+0002  2.37528483072917E+0002
14 -1.58182779947917E+0002  9.61303710937500E+0001
15 -1.92769368489583E+0002  9.71476236979166E+0001
16 -2.21252441406250E+0002  1.00199381510416E+0002
17 -2.03959147135417E+0002  1.77510579427083E+0002
18 -2.37528483072917E+0002  1.78527832031250E+0002
19 -2.07010904947917E+0002  2.13114420572917E+0002
20 -2.36511230468750E+0002  2.13114420572917E+0002
21 -2.08028157552083E+0002  2.42614746093750E+0002
22 -2.37528483072917E+0002  2.42614746093750E+0002
23 -4.11987304687500E+0001  3.20943196614583E+0002
24 -6.76472981770833E+0001  3.19925944010417E+0002
25 -4.01814778645833E+0001  3.56547037760417E+0002
26 -6.76472981770833E+0001  3.53495279947917E+0002
27 -4.11987304687500E+0001  4.07409667968750E+0002
28 -6.96818033854166E+0001  4.08426920572917E+0002
29 -4.01814778645833E+0001  4.38944498697917E+0002
30 -6.96818033854166E+0001  4.39961751302083E+0002
31 -4.93367513020833E+0001  5.04048665364583E+0002
32 -7.78198242187500E+0001  5.02014160156250E+0002
33 -1.20544433593750E+0002  3.18908691406250E+0002
34 -1.20544433593750E+0002  3.70788574218750E+0002
35 -1.53096516927083E+0002  3.70788574218750E+0002
36 -1.55131022135417E+0002  3.20943196614583E+0002
37 -1.21561686197916E+0002  4.07409667968750E+0002
38 -1.50044759114583E+0002  4.06392415364583E+0002
39 -1.60217285156250E+0002  4.64375813802083E+0002
40 -1.87683105468750E+0002  4.63358561197917E+0002
41 -1.83614095052083E+0002  4.08426920572917E+0002
42 -1.80562337239583E+0002  3.70788574218750E+0002
43 -2.17183430989583E+0002  3.21960449218750E+0002
44 -2.29390462239583E+0002  3.72823079427083E+0002
45 -2.28373209635417E+0002  4.08426920572917E+0002
46 -2.59908040364583E+0002  3.71805826822917E+0002
47 -2.88391113281250E+0002  3.72823079427083E+0002
48 -2.59908040364583E+0002  4.07409667968750E+0002
49 -2.89408365885417E+0002  4.10461425781250E+0002
50 -2.22269694010417E+0002  4.64375813802083E+0002
51 -2.55839029947917E+0002  4.64375813802083E+0002
52 -2.91442871093750E+0002  4.59289550781250E+0002
53 -2.94494628906250E+0002  5.00996907552083E+0002
54 -2.95511881510417E+0002  1.86665852864583E+0002
55 -2.92460123697917E+0002  2.21252441406250E+0002
56 -4.61324055989583E+0002  1.76493326822917E+0002
57 -4.92858886718750E+0002  1.74458821614583E+0002
58 -4.63358561197917E+0002  2.10062662760417E+0002
59 -4.90824381510417E+0002  2.10062662760417E+0002
60 -5.26428222656250E+0002  1.30716959635417E+0002
61 -5.26428222656250E+0002  1.68355305989583E+0002
62 -5.63049316406250E+0002  1.29699707031250E+0002
