param d := 2;

param n_individuals := 10;

param a : 1 2 :=
    0 7.606700551075619 1.3905840592205476
    1 4.940051516977855 7.336050165796159
    2 1.7410186465349142 6.583523789391707
    3 3.4543744790444206 5.770908336698998
    4 4.0842277532232005 3.5006841570867397
    5 8.107331093991451 8.600209724089131
    6 0.11843413507636069 2.091494668743936
    7 9.400066757932526 3.205233812189089
    8 2.819329720980428 1.8155639567247805
    9 0.9904418974238183 8.452746980667921
;

param demands :=    0 1
    1 1
    2 1
    3 1
    4 1
    5 1
    6 1
    7 1
    8 1
    9 1
;

param p := 3;

param Q :=
    0 3
    1 5
    2 2
;
