#raw
474.453	    161.792     0
676.544	    371.324     0
918.187	    370.688     0
684.704	    447.486     0
923.648	    453.973     0
417.109	    601.429     0
605.265	    798.543     0
823.979	    800.768     0
590.507	    884.053     0
828.075	    879.957     0
1125.717	271.019     0
1428.821	266.923     0
1449.301	455.339     0
1696.572	455.646     0
1707.452	526.368     0
1718.333	602.53      0
1453.397	609.621     0
1454.763	524.971     0
1406.976	799.403     0
1860.267	800.768     0
1917.611	242.347     0
2196	    244         0
2630.667	249.333     0
2446.493	432.332     0
2449.333	518.667     0
2449.333	614.667     0
2729.333	612         0
2726.667	524         0
2731.323	432.332     0
3364	    465.333     0
3362.02	    554.403     0
3313.333	934.667     0
3318.667	1020        0
3052	    1017.333    0
3049.333	940         0
2646.667	934.667     0
2553.333	809.333     0
2630.667	1014.667    0
2161.333	1014.667    0
2161.333	926.667     0
1775.106	1032.511    0
1775.106	920.614     0
1508	    934.667     0
1510.62	    1012.166    0
586.781	    1024.142    0
586.781	    1094.864    0
849.333	    1097.333    0
849.406	    1022.339    0
1932	    1156        0
2172	    1158.667    0
2622.667	1153.333    0
2932	    1161.333    0
3422.667	1145.333    0
3420	    1270.667    0
3654.667	1188        0
4085.938	809.896     0
4096.354	971.354     0
5320.313	513.021     0
5315.104	429.688     0
5565.104	429.688     0
5575.521	518.229     0
5960.938	315.104     0
5955.729	424.479     0
5966.187	513.713     0
6007.813	606.771     0
6440.104	419.271     0
6440.104	315.104     0
6729.126	300.09      0
6731.92	    369.78      0
7018.229	283.854     0
7013.021	372.396     0
7013.021	466.146     0
5934.896	872.396     0
5929.688	971.354     0
5919.271	1049.479    0
5919.271	1138.021    0
6414.063	1148.438    0
6419.271	1044.271    0
6424.479	966.146     0
6424.479	872.396     0
6725.347	908.733     0
6718.774	1027.039    0
6716.146	1127.604    0
6721.354	1236.979    0
7132.813	804.688     0
7153.646	976.563     0
7132.813	1164.063    0
705.729	    1268.229    0
945.313	    1257.813    0
7442.22	    826.009     0
7409.668	996.908     0
7408.896	1073.047    0
7678.373	1073.047    0
7685.343	981.649     0
7868.978	829.862     0
7928.131	994.176     0
7921.558	1069.761    0
8194.321	1073.047    0
8190.918	996.908     0
8190.918	801.595     0
8695.475	817.871     0
8264.16	    606.283     0
8247.884	467.936     0
8247.884	386.556     0
8500.163	386.556     0
8516.439	476.074     0
9117.77	    159.457     0
9124.342	235.042     0
9390.532	156.171     0
9354.383	379.639     0
9104.625	386.212     0
9104.625	448.651     0
9347.81	    458.51      0
9640.291	843.007     0
9633.718	921.878     0
9321.52	    987.604     0
9314.947	1069.761    0
9037.272	1078.288    0
9045.41	    1192.22     0
9038.899	997.463     0
8677.406	994.176     0
8679.199	1086.426    0
9045.41	    1281.738    0
6297.451	5684.046    0
6552.805	5684.046    0
6301.892	5748.44     0
6552.805	5850.582    0
6304.112	5914.975    0
6548.364	5914.975    0
7021.324	5686.267    0
7278.442	5681.356    0
7030.206	5852.802    0
7276.678	5848.361    0
7030.206	5912.755    0
7276.678	5906.093    0
6312.994	6165.888    0
6312.994	6101.495    0
6572.789	6110.377    0
6572.789	6165.888    0
6319.656	6336.864    0
6583.892	6334.644    0
6999.119	6108.156    0
7274.458	6101.495    0
7001.34	    6270.25     0
7266.998	6275.177    0
7005.781	6336.864    0
7265.576	6341.305    0
7762.909	6275.177    0
7980.567	6274.691    0
7760.741	6347.967    0
7982.787	6352.408    0
7746.379	6088.257    0
7991.791	6084.442    0
7747.418	6165.888    0
7982.787	6161.447    0
7769.622	5932.739    0
7760.741	5861.684    0
7956.142	5861.684    0
7979.075	5931.854    0
8260.346	5859.463    0
8264.787	5934.959    0
8251.464	6085.951    0
8249.244	6154.786    0
7145.993	1040.185    0
9301.802	606.394     0
9650.149	616.252     0
6304.112	5852.802    0
6555.026	5755.101    0
7027.986	5746.22     0
7276.678	5750.66     0
7005.781	6168.109    0
7265.576	6174.77     0
6577.23	    6272.471    0
6310.774	6270.25     0
