12							
4.20	13.30	-5.30	4.00	23.00	6.00	0.00	14.00
1.00	7.80	-5.30	3.00	34.00	11.00	8.00	22.00
2.90	11.40	-5.10	3.20	65.00	17.00	0.00	19.00
1.60	10.20	-6.00	2.90	7.00	2.00	5.00	19.00
-1.10	2.70	-9.00	1.50	22.00	5.00	24.00	24.00
3.30	13.40	-7.30	2.70	46.00	15.00	2.00	20.00
4.50	13.00	-2.90	3.70	89.00	22.00	4.00	17.00
5.70	13.50	-2.70	5.20	92.00	16.00	0.00	15.00
6.60	14.90	-.60	5.50	131.00	29.00	0.00	10.00
1.50	13.80	-7.20	2.60	80.00	18.00	14.00	23.00
5.50	12.10	-3.60	4.50	46.00	9.00	2.00	16.00
4.70	12.00	-3.00	5.10	14.00	6.00	0.00	13.00
1982							
1983							
1984							
1985							
1986							
1987							
1988							
1989							
1990							
1991							
1992							
1993							
MEANTEMP							
MAXTEMP							
MINTEMP							
SOILTEMP							
RAINFALL							
MAXRAIN							
SNOWDAYS							
GRASSDAY							
