59	
54	-65
0	71
-31	53
8	111
1	-9
-36	52
-22	-76
0	20
34	129
28	84
12	-38
-21	-26
-6	-41
21	45
38	-90
-24	10
-38	35
86	-57
58	-1
-9	-3
70	-74
-20	70
-43	44
59	-26
-5	114
83	-41
27	153
12	-49
30	-65
31	-12
-57	28
44	-28
7	-7
54	-8
65	-8
-35	25
46	79
5	118
56	4
-21	54
-40	45
-43	51
57	-21
0	0
25	15
56	-25
-34	56
-24	36
-25	49
64	-26
63	-48
37	155
-5	-24
2	28
-18	-58
-10	82
12	-58
-40	-28
-16	28
1	
2	
3	
4	
5	
6	
7	
8	
9	
10	
11	
12	
13	
14	
15	
16	
17	
18	
19	
20	
21	
22	
23	
24	
25	
26	
27	
28	
29	
30	
31	
32	
33	
34	
35	
36	
37	
38	
39	
40	
41	
42	
43	
44	
45	
46	
47	
48	
49	
50	
51	
52	
53	
54	
55	
56	
57	
58	
59	
C1	
C2	
