74	
5	63
10	59
9	77
13	49
13	69
12	88
15	75
18	61
19	65
22	74
27	72
28	76
24	58
27	55
28	60
30	52
31	60
32	61
36	72
28	147
32	149
35	153
33	154
38	151
41	150
38	145
38	143
32	143
34	141
44	156
44	149
44	143
46	142
47	149
49	152
50	142
53	144
52	152
55	155
54	124
60	136
63	139
86	132
85	115
85	96
78	94
74	96
97	122
98	116
98	124
99	119
99	128
101	115
108	111
110	111
108	116
111	126
115	117
117	115
70	4
77	12
83	21
61	15
69	15
78	16
66	18
58	13
64	20
69	21
66	23
61	25
76	27
72	31
64	30
1	
2	
3	
4	
5	
6	
7	
8	
9	
10	
11	
12	
13	
14	
15	
16	
17	
18	
19	
20	
21	
22	
23	
24	
25	
26	
27	
28	
29	
30	
31	
32	
33	
34	
35	
36	
37	
38	
39	
40	
41	
42	
43	
44	
45	
46	
47	
48	
49	
50	
51	
52	
53	
54	
55	
56	
57	
58	
59	
60	
61	
62	
63	
64	
65	
66	
67	
68	
69	
70	
71	
72	
73	
74	
X	
Y	
