198											
0.19	0.37	-1.12	0.31	0.13	0.34	-0.35	-0.74	0.24	0.25	0.16	-0.47
0.3	0.14	-0.97	0.13	0.01	0.15	-0.27	-0.39	0.13	0.03	-0.14	-0.93
-0.68	0.28	-1	0.26	0.14	0.26	-0.44	-0.67	0.21	-0.26	-0.29	0.16
0.01	0.23	-1.1	0.22	0.01	0.16	-0.35	-0.51	0.1	-0.11	-0.16	-0.12
1	0.12	-0.72	0.22	-0.01	0.05	-0.47	-0.67	0.02	0.09	0.61	1.19
0.21	0.32	-0.97	0.33	-0.04	0.22	-0.24	-0.55	0.14	0.02	0.06	-0.13
0.1	0.17	-0.94	0.19	0.06	0.16	-0.54	-0.5	0.18	-0.09	-0.27	-0.54
0.64	0.4	-0.88	0.32	0.03	0.29	-0.1	-0.27	0.28	0.28	-0.06	-0.99
0.18	0.28	-1.03	0.29	0	0.2	-0.29	-0.57	0.16	-0.05	0.07	0.34
-0.19	0.3	-0.83	0.25	-0.02	0.2	-0.37	-0.72	0.04	-0.15	-0.38	-0.92
0.22	0.31	-1.04	0.28	0.05	0.21	-0.35	-0.4	0.24	0.05	0.57	1.21
0.4	0.26	-1	0.29	-0.08	0.23	-0.16	-0.52	0.15	-0.16	0.17	-0.01
-0.5	0.38	-0.97	0.25	0.08	0.16	-0.62	-0.39	0.18	0.12	0.32	-0.82
-0.43	0.42	-0.59	0.3	-0.03	0.18	-0.52	-0.85	0.08	-0.19	-0.19	0.42
-0.02	0.29	-0.57	0.17	0.07	0.11	-0.36	-0.36	0.09	-0.16	-0.15	-0.72
-0.41	0.29	-1.07	0.33	0.15	0.29	-0.34	-0.54	0.07	-0.04	0.14	0.12
-0.67	0.45	-0.66	0.24	-0.01	0.16	-0.63	-0.63	-0.17	0.17	-0.04	-0.9
-0.26	0.25	-1.11	0.12	0.08	0.16	-0.42	-0.25	0.12	0.25	-0.13	-1.02
0.49	0.33	-0.86	0.24	0.17	0.14	-0.57	-0.64	0	-0.08	-0.39	-0.39
-0.5	0.33	-0.81	0.16	0.06	0.32	-0.47	-0.71	0.05	0.19	-0.17	-1.04
0.22	0.36	-0.8	0.33	0.12	0.25	-0.36	-0.58	0.18	0.13	0.53	1.18
-0.34	0.17	-0.82	0.24	0.12	0.2	-0.22	-0.36	0.08	-0.09	0.12	0.31
-0.55	0.3	-0.37	0.27	0.22	0.24	-0.23	-0.2	0.29	-0.16	-0.05	0.38
0.17	0.42	-0.43	0.36	0.09	0.18	-0.68	-0.33	0.17	0.08	0.19	0.02
-0.89	0.33	-0.84	-0.05	0.01	-0.03	-0.7	-0.84	-0.06	-0.16	-1.5	-1.75
-0.29	0.25	-0.89	0.27	0.23	0.36	-0.37	-0.58	0.32	0.17	0.68	-0.78
0.36	0.3	-0.95	0.23	0.05	0.21	-0.09	-0.28	0.25	0.01	-0.06	0.47
0.31	0.22	-1.01	0.26	0.03	0.31	0	-0.45	0.12	-0.01	-0.02	-0.06
0.31	0	-1	0.11	-0.39	-0.13	-0.13	-0.87	-0.03	-0.47	0.03	-1.3
0.31	0.27	-0.84	0.32	0.13	0.22	-0.38	-0.69	0.24	-0.03	-0.64	-1.09
-0.14	0.55	-0.44	0.23	0.23	0.13	-0.61	-0.92	0.31	-0.06	-0.24	0.05
0.4	0.24	-1.05	0.22	-0.17	0.17	-0.23	-0.66	0.14	-0.15	-0.06	-0.35
-0.09	-0.04	-1.09	0.09	-0.1	0.04	-0.09	-0.25	-0.15	-0.48	-0.75	-0.34
0.39	0.37	-0.98	0.37	0.12	0.33	-0.19	-0.66	0.07	-0.23	0.08	-0.42
-0.64	0.3	-0.7	0.2	0.07	0.18	-0.51	-0.52	-0.07	-0.18	-0.07	-0.07
0.29	0.23	-0.8	0.1	-0.11	0.15	0.01	-0.39	0.21	0.07	-0.05	-0.08
0.17	0.25	-0.85	0.24	0.07	0.16	-0.28	-0.33	0.09	-0.17	0.06	-0.11
0.5	0.21	-1.03	0.36	0.31	0.4	-0.44	-0.66	0.4	0.07	-0.98	-0.64
-0.01	0.25	-0.85	0.22	-0.06	0.18	-0.53	-0.95	0.12	0.13	-0.6	-1.52
0.2	0.33	-0.67	0.33	0.2	0.31	-0.22	-0.5	0.18	-0.08	-0.03	0.17
-0.14	0.3	-0.94	0.23	0.03	0.21	-0.24	-0.64	0.12	-0.15	-0.03	-0.16
-0.22	0.35	-0.54	0.16	0.04	0.24	-0.27	-0.21	0.14	0.14	-0.13	-0.69
0.54	0.43	-0.87	0.36	0.04	0.25	-0.26	-0.7	0.19	-0.16	0.27	-0.56
0.23	0.33	-0.64	0.26	0.17	0.24	-0.02	-0.19	0.13	-0.09	-0.2	-0.07
0.16	0.02	-1.1	0	-0.1	0.28	-0.1	0.06	0.21	0.23	-0.94	-1.18
0.11	0.41	-0.61	0.25	0.38	0.36	-0.2	-0.13	0.28	0.03	-0.62	-0.79
-0.22	0.4	-0.54	0.22	0.08	0.27	-0.44	-0.91	0.17	0.04	0.06	-0.41
0.41	0.34	-0.93	0.3	0.04	0.17	-0.19	-0.36	0.16	-0.2	-0.36	-0.68
1.16	-0.01	-0.55	0.26	-0.04	-0.06	-0.4	-0.33	0.03	0.04	0.57	1.41
1.36	0.22	-1.09	0.36	-0.01	0.25	-0.11	-0.28	-0.12	-0.14	0.67	1.47
-0.35	0.3	-0.75	0.15	0.13	0.36	-0.35	-0.51	0.03	0.35	-0.1	0.21
-0.25	0.3	-0.67	0.17	0.11	0.33	-0.44	-0.4	0.28	0.21	0.36	-0.68
0.29	0.23	-0.47	0.23	0.19	0.26	-0.19	-0.24	0.26	0.09	-0.38	-1.01
0.4	0.33	-1.03	0.32	0.09	0.23	-0.29	-0.75	0.24	-0.01	-0.04	-0.31
0.09	0.26	-0.78	0.27	0.14	0.24	-0.38	-0.62	0.13	-0.21	-0.25	-0.26
0.1	0.19	-0.62	0.3	0.17	0.3	-0.28	-0.37	0.2	-0.03	0.13	0.02
0.33	0.2	-0.77	0.23	0.23	0.19	-0.47	-0.6	0.18	0.12	-0.66	0.59
0.22	0.31	-0.91	0.3	0.01	0.24	-0.28	-0.69	0.14	-0.09	-0.09	-0.19
0.38	0.38	-0.81	0.3	0.13	0.32	-0.37	-0.78	0.23	0.07	0.28	0.3
