108				
1.69	3.73	1.65	1.80	3.33
0.74	0.78	1.09	0.79	1.59
0.81	0.86	2.39	0.36	2.06
1.44	2.01	2.96	1.27	4.05
2.48	4.61	4.16	2.16	6.00
0.84	2.39	2.76	0.87	4.17
0.37	1.37	1.08	0.85	3.45
0.37	0.84	0.26	0.47	0.90
1.33	2.31	2.53	1.08	3.65
3.38	5.56	2.76	3.10	5.06
0.69	1.46	1.07	0.64	1.95
1.42	2.79	1.42	1.08	1.22
0.44	1.05	0.24	0.44	0.94
0.76	1.24	0.70	0.67	0.94
1.13	2.28	0.97	1.66	2.21
0.88	1.58	1.06	1.13	1.46
0.17	0.55	0.13	0.27	0.35
0.25	0.77	0.10	0.30	0.34
0.78	1.45	0.38	0.58	0.67
0.40	0.34	0.45	0.43	0.44
0.52	0.79	0.42	0.47	0.53
2.73	2.09	2.24	4.02	2.52
0.90	2.45	0.52	1.32	2.18
1.62	2.54	0.94	1.59	1.73
0.93	2.11	1.19	0.85	2.31
0.63	1.31	0.76	0.71	1.28
0.42	1.23	0.13	0.59	0.91
0.64	0.43	1.50	0.24	1.15
0.30	0.69	1.03	0.22	1.88
0.88	1.32	1.87	0.58	2.97
0.76	1.25	1.85	1.36	2.17
1.25	1.00	2.04	0.71	2.22
1.08	0.99	1.44	1.00	1.64
1.11	0.80	1.46	1.48	0.40
3.43	2.55	5.08	1.77	4.20
0.54	0.43	0.66	0.73	0.91
0.39	0.44	0.49	0.55	0.51
2.53	3.18	3.27	2.68	3.60
0.81	0.89	1.33	0.43	2.18
0.39	1.22	0.25	0.46	0.89
0.86	1.24	0.69	0.49	0.69
2.16	2.29	2.12	0.95	1.82
1.70	2.18	1.45	1.47	2.20
1.22	2.00	2.13	1.13	2.33
0.07	0.22	0.02	0.08	0.24
0.49	1.07	0.36	0.87	0.57
0.71	1.73	0.72	0.99	0.98
1.67	3.46	1.02	1.89	2.47
0.73	1.51	0.18	1.42	0.71
1.79	3.13	1.83	1.82	3.11
0.19	1.05	0.08	0.40	0.57
0.00	0.15	0.00	0.04	0.04
0.44	0.89	0.83	0.38	0.70
0.31	1.15	0.01	0.44	0.66
0.96	0.88	2.65	0.85	1.48
1.04	1.20	1.27	1.39	1.20
0.05	0.06	0.01	0.23	0.10
0.04	0.20	0.35	0.75	0.20
1.83	2.93	1.80	1.62	3.02
2.24	2.17	4.44	1.05	3.59
2.50	3.99	2.84	2.44	4.48
1.10	1.71	2.05	1.30	4.04
1.83	3.87	3.01	1.66	4.56
1.41	2.99	2.58	1.21	3.95
0.74	1.36	2.22	0.61	2.68
1.09	3.56	0.07	2.26	2.08
0.79	1.43	1.62	1.16	2.87
4.06	6.71	4.34	3.29	6.40
0.40	0.64	1.03	0.58	1.77
0.76	1.83	1.50	0.41	2.56
1.53	3.62	1.52	1.62	2.86
0.56	2.88	0.37	1.25	1.74
1.74	3.45	2.14	1.00	4.39
1.59	3.19	2.36	1.53	3.03
1.91	4.74	1.71	2.03	3.24
2.09	5.23	2.12	2.77	4.44
1.59	3.92	1.38	2.11	3.01
0.66	2.22	0.21	1.41	0.80
0.68	0.42	0.48	0.59	0.68
0.46	1.08	0.01	0.65	0.48
0.22	0.62	0.15	0.13	0.42
1.11	1.70	1.32	0.57	1.54
1.76	1.19	2.26	1.04	1.27
5.12	5.25	5.95	3.97	5.37
0.12	0.60	0.19	0.28	0.70
0.37	0.65	0.31	0.23	0.83
4.97	3.03	1.44	3.14	0.86
0.57	1.53	0.30	0.72	1.38
0.13	0.54	0.11	0.14	0.58
2.47	4.70	3.66	1.84	5.36
1.01	2.32	1.14	0.81	2.09
0.55	1.13	1.30	0.34	2.45
0.24	0.61	0.05	0.38	0.90
2.36	1.15	1.84	1.73	2.33
2.35	4.29	4.24	1.67	5.48
2.23	4.30	1.99	1.90	3.67
1.16	3.06	2.44	1.52	4.01
1.63	3.31	2.21	2.36	3.25
1.08	3.17	0.80	2.25	2.79
6.00	6.15	9.42	3.60	7.84
2.67	6.93	2.74	3.03	6.39
